stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
4340,新左營,Xinzuoying,新左營,Xinzuoying,高雄市左營區尾北里站前北路 1 號,"No. 1, Zhanqian N. Rd., Zuoying Dist., Kaohsiung City",07-5887825,22.68754 120.30678,Y
4350,左營,Zuoying,左營,Zuoying,高雄市左營區翠華路1050號地下1層,"B1F., No. 1050, Cuihua Rd, Zuoying Dist., Kaohsiung City",07-5887835,22.67557 120.29555,N
4360,內惟,Neiwei,內惟,Neiwei,高雄市鼓山區翠華路500號地下1層,"B1F., No. 500, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5886119,22.66607 120.28738,N
4370,美術館,Museum of Fine Arts,美術館,Museum of Fine Arts,高雄市鼓山區翠華路246號,"No.246, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5215147,22.65298 120.28163,Y
4380,鼓山,Gushan,鼓山,Gushan,高雄市鼓山區鐵路街20巷6號,"No.6, Ln. 20, Railway St., Gushan Dist., Kaohsiung City",07-5217014,22.64169 120.28071,N
4390,三塊厝,Sankuaicuo,三塊厝,Sankuaicuo,高雄市三民區德北里6鄰康平街1號,"No.1, Kangping St., Sanmin Dist., Kaohsiung City",07-2856234,22.63901 120.29381,N
4400,高雄,Kaohsiung,高雄,Kaohsiung,高雄市三民區港西里建國二路 318 號,"No. 318, Jianguo 2nd Rd., Sanmin Dist., Kaohsiung City",07-2352376,22.63801 120.30313,Y
4410,民族,Minzu,民族,Minzu,高雄市三民區博惠里14鄰凱旋一路260號,"No.260, Kaisyuan 1st Rd., Sanmin Dist., Kaohsiung City",07-2231492,22.63881 120.31479,N
4420,科工館,Science And Technology Museum,科工館,Science And Technology Museum,高雄市三民區寶盛里15鄰大順三路307號,"No. 307, Dashun 3rd Rd., Sanmin Dist., Kaohsiung City",07-2234778,22.63702 120.32663,N
4430,正義,Zhengyi,正義,Zhengyi,高雄市苓雅區建軍里正義路 308 號 B1,", Lingya Dist., Kaohsiung City",07-7999818,22.63425 120.34245,N
4440,鳳山,Fongshan,鳳山,Fongshan,高雄市鳳山區曹公里曹公路 137 號,"No. 137, Caogong Rd., Fengshan Dist., Kaohsiung City",07-7460423,22.63131 120.35746,Y
4450,後庄,Houzhuang,後庄,Houzhuang,高雄市大寮區後庄里民慶街 9 號,"No. 9, Minqing St., Daliao Dist., Kaohsiung City",07-7020149,22.64013 120.39132,N
